,,,,
ASSESSMENT OF INVESTMENTS,South-East TGV,Atlantic TGV,Mediterranean TGV,East-TGV
,1975 MFF,1983 MFF,1991 MFF,1992 MFF
INFRASTRUCTURE,,,,
"Land purchase, plot regrouping, compensation payments",141.0,508.0,1210.0,1489.0
"Preparatory work, earthworks, drainage/sanitation, roads, miscellaneous",993.0,1269.0,8500.0,8383.0
Civil engineering structures,377.0,2622.0,4670.0,4403.0
"Road safety measures, fencing of right of way, miscellaneous",79.0,92.0,830.0,854.0
TOTAL FOR  RAILROAD INFRASTRUCTURE,1590.0,4491.0,15210.0,15129.0
,,,,
SUPERSTRUCTURE,,,,
"Track, ballasting",625.0,1080.0,1855.0,2938.0
Safety/signaling and telecommunication installations,248.0,653.0,1240.0,1598.0
Electric traction installation,249.0,543.0,990.0,1471.0
Terminal installations  and buildings,214.0,490.0,605.0,558.0
TOTAL FOR RAILROAD SUPERSTRUCTURE,1336.0,2766.0,4690.0,6565.0
,,,,
TOTAL COST FOR HIGH SPEED LINE ,2926.0,7257.0,19900.0,21694.0
Length of the High Speed Line (in kilometers),417.0,282.0,,
,,,,
TGV TRAINSETS,2.545,1.16*,,
Number of Trainsets,109.0,95.0,,
,,,,
TOTAL INVESTMENTS,5471.0,,,
,,* Millions of 1990 ECU,,
