,,,,
,Infrastructure,Rolling Stock+Sales Tax,Noise,
Total Cost,9597000000.0,787140900.0,14133347.5,
Number of Years,1000.0,15.0,30.0,
Annual Cost at,,,,A=P*i(1+i)^n/((1+i)^n-1)
0.01,95974579.12431124,56771577.246150404,,
0.02,191940000.48194084,61259612.26998223,,
0.03,287910000.0000419,65936101.53500784,,
0.04,383880000.0,70796318.69299813,,
0.05,479850000.0,75834954.97679944,,
0.06,575820000.0,81046202.68627235,,
0.07,671790000.0000001,86423839.7023125,,
0.075,719775000.0,89173017.10363604,,2123167.073896096
0.08,767760000.0,91961313.14752923,,
0.09,863730000.0000001,97651820.54235944,,
0.1,959700000.0,103488387.06552534,,
,,,,
,5653339000.0,5653339000.0,,
,,,,
,$/pkt,,,
Number of Years,,,,
Interest Rate,Infrastructure,Rolling Stock+Sales Tax,Noise,
0.01,0.016976618441652134,0.010042132135743214,0.0011,
0.02,0.03395161699695363,0.01083600545977912,0.0013,
0.03,0.05092742536756453,0.011663213816650274,0.0015,
0.04,0.06790323382340949,0.012522921178616411,0.0017,
0.05,0.08487904227926187,0.013414188495825112,0.0019,
0.06,0.10185485073511424,0.014335988463856909,0.0021,
0.07,0.11883065919096664,0.015287220473124379,0.0023,
0.075,0.1273185634188928,0.015773513158088705,0.0025,
0.08,0.13580646764681897,0.0162667254073264,0.0026,
0.09,0.1527822761026714,0.01727329999887844,0.0028,
0.1,0.16975808455852373,0.018305710495253397,0.0031,
