DEP=DB(A),Regression Output:,,,,,,
Constant,,,14.945135063410234,,,,
Std Err of Y Est,,,3.749900199019505,,,,
R Squared,,,0.81462760214903,,,,
No. of Observations,,,4.0,,,,
Degrees of Freedom,,,2.0,,,,
,,LOG(Speed),,,,,
X Coefficient(s),,29.729140447165868,,,,,
Std Err of Coef.,,10.027907704212902,,,,,
,,,,,,,
,,,,,,,
Speed km/hr,Maglev,ICE,Shinkansen,Amtrak,,,
96.6,,72.0,79.0,79.0,76.66666666666667,1.9849771264154934,73.93352019706846
161.0,72.0,75.0,80.0,82.0,77.25,2.2068258760318495,80.52686503566656
193.2,75.0,78.0,82.0,89.0,81.0,2.286007122079474,82.88013166820197
322.0,85.0,92.0,,,92.0,2.507855871695831,89.47347650680008
