source_path,modernized_path,csv_export_dir,status,sheet_summary
/Users/dlev2617/Documents/Papers/~05-Published/Annals of Regional Science/ARS-HSR/Irate.xls,data/analysis_workbooks/modernized_xlsx/ars_hsr_interest_rate_capital_cost.xlsx,data/analysis_workbooks/csv_exports/ars_hsr_interest_rate_capital_cost,converted_with_xlrd_openpyxl,Sheet1:33x5; Sheet2:0x0; Sheet3:0x0; Sheet4:0x0; Sheet5:0x0; Sheet6:0x0; Sheet7:0x0; Sheet8:0x0; Sheet9:0x0; Sheet10:0x0; Sheet11:0x0; Sheet12:0x0; Sheet13:0x0; Sheet14:0x0; Sheet15:0x0; Sheet16:0x0
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/C6 HSR/HSR.XLS,data/analysis_workbooks/modernized_xlsx/full_cost_hsr_tgv_and_system_data.xlsx,data/analysis_workbooks/csv_exports/full_cost_hsr_tgv_and_system_data,converted_with_xlrd_openpyxl,South-East TGV:33x13; TGV Infrastructure:25x5; South-East TGV (2):18x12; HSR DATA:23x10
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/C6 HSR/Jean-Michel/APP6-D1.XLS,data/analysis_workbooks/modernized_xlsx/hsr_appendix6_d1.xlsx,data/analysis_workbooks/csv_exports/hsr_appendix6_d1,converted_with_xlrd_openpyxl,Sheet1:83x13; Sheet2:0x0; Sheet3:0x0; Sheet4:0x0
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/C6 HSR/Jean-Michel/APP6-D2.XLS,data/analysis_workbooks/modernized_xlsx/hsr_appendix6_d2.xlsx,data/analysis_workbooks/csv_exports/hsr_appendix6_d2,converted_with_xlrd_openpyxl,Trainset:77x256
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/C7 Conclusion/CarHSRWorkSheet,data/analysis_workbooks/modernized_xlsx/car_hsr_comparison_work_sheet.xlsx,data/analysis_workbooks/csv_exports/car_hsr_comparison_work_sheet,converted_with_xlrd_openpyxl,Sheet17:0x0; Sheet1:155x13; Sheet2:0x0; Sheet3:0x0; Sheet4:0x0; Sheet5:0x0; Sheet6:0x0; Sheet7:0x0; Sheet8:0x0; Sheet9:0x0; Sheet10:0x0; Sheet11:0x0; Sheet12:0x0; Sheet13:0x0; Sheet14:0x0; Sheet15:0x0; Sheet16:0x0
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/INSERTS/Table7.xls,data/analysis_workbooks/modernized_xlsx/table7_intermodal_full_cost_comparison.xlsx,data/analysis_workbooks/csv_exports/table7_intermodal_full_cost_comparison,converted_with_xlrd_openpyxl,AverageCosts:20x4; Air-Noise:16x2; AIR:71x8; HIGHWAY:30x8; HSR:31x8; Comparison:12x7
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/Models/NoiseModel/ANoiseModel.xls,data/analysis_workbooks/modernized_xlsx/air_noise_model.xlsx,data/analysis_workbooks/csv_exports/air_noise_model,converted_with_xlrd_openpyxl,A:118x7; B:30x7
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/Models/NoiseModel/RNoiseModel.XLS,data/analysis_workbooks/modernized_xlsx/rail_noise_model.xlsx,data/analysis_workbooks/csv_exports/rail_noise_model,converted_with_xlrd_openpyxl,A:66x7; Sheet3:37x9; Sheet4:18x9; B:12x6; C:26x5; D:16x8
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/C6 HSR/Jean-Michel/READ-ME.DOC,documentation/legacy_model_and_report_notes/extracted_text/read_me_hsr_simulation_program.txt,,textutil_txt_extract,
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/C6 HSR/HSR2.DOC,documentation/legacy_model_and_report_notes/extracted_text/hsr2_infrastructure_operating_costs.txt,,textutil_txt_extract,
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/C6 HSR/HSR3.DOC,documentation/legacy_model_and_report_notes/extracted_text/hsr3_high_speed_line_characteristics.txt,,textutil_txt_extract,
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/C6 HSR/Jean-Michel/APPEND6.DOC,documentation/legacy_model_and_report_notes/extracted_text/appendix6_hsr_simulation_appendix.txt,,textutil_txt_extract,
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/FC Master/C6 - HSR,documentation/legacy_model_and_report_notes/extracted_text/fc_master_chapter6_hsr.txt,,textutil_txt_extract,
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/FC Master/Chapter6-Addendum,documentation/legacy_model_and_report_notes/extracted_text/fc_master_chapter6_addendum.txt,,textutil_txt_extract,
