Distances (miles): ,,,,,,,,,,Distance/km,,
,,,,,,,,SAC,SFO,144.0,,
,SAC,SFO,SJ,FRESNO,LAX,SD,,SAC,FRESNO,240.0,,
SAC,0.0,-,-,-,-,-,,SAC,LAX,640.0,,
SFO,90.0,0.0,-,-,-,-,,SAC,SD,800.0,,
SJ,100.0,25.0,0.0,-,-,-,,SFO,FRESNO,240.0,,
FRESNO,150.0,150.0,130.0,0.0,-,-,,SFO,LAX,600.0,,
LAX,400.0,375.0,350.0,250.0,0.0,-,,SFO,SD,720.0,,
SD,500.0,450.0,475.0,325.0,100.0,0.0,,FRESNO,LAX,400.0,,
,,,,,,,,FRESNO,SD,520.0,,
Distances (km): ,,,,,,,,LAX,SD,160.0,,
,SAC,SFO,SJ,FRESNO,LAX,SD,,,,,,
SAC,0.0,-,-,-,-,-,,,,,,
SFO,144.0,0.0,-,-,-,-,,,,,,
SJ,160.0,40.0,0.0,-,-,-,,,,,,
FRESNO,240.0,240.0,208.0,0.0,-,-,,,,,,
LAX,640.0,600.0,560.0,400.0,0.0,-,,,,,,
SD,800.0,720.0,760.0,520.0,160.0,0.0,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"AIR DIVERTED, ANNUAL PAX (thousands)",,,,,,,,,,,,
,SAC,SFO,SJ,FRESNO,LAX,SD,,,,,,
SAC,0.0,-,-,-,-,-,,,,,,
SFO,29.0,0.0,-,-,-,-,,,,,,
SJ,-,-,-,-,-,-,,,,,,
FRESNO,29.0,68.0,-,0.0,-,-,,,,,,
LAX,740.0,1350.0,-,333.0,0.0,-,,,,,,
SD,62.0,87.0,-,38.0,393.0,0.0,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"CAR DIVERTED, ANNUAL PAX (thousand)",,,,,,,,,,,,
,SAC,SFO,SJ,FRESNO,LAX,SD,,,,,,
SAC,0.0,-,-,-,-,-,,,,,,
SFO,1138.0,-,-,-,-,,,,,,,
SJ,-,-,-,-,-,-,,,,,,
FRESNO,222.0,415.0,-,0.0,-,-,,,,,,
LAX,643.0,1352.0,-,869.0,0.0,-,,,,,,
SD,240.0,582.0,-,97.0,2598.0,0.0,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
HSR PAASENGER KILOMETERS (thousands),,,,,,,,,,,,
,SAC,SFO,SJ,FRESNO,LAX,SD,,,,,,
SAC,0.0,-,-,-,-,-,,,,,,
SFO,168048.0,-,-,-,-,,,,,,,
SJ,-,-,-,-,-,-,,,,,,
FRESNO,60240.0,115920.0,-,0.0,-,-,,,,,,
LAX,885120.0,1621200.0,-,480800.0,0.0,-,,,,,,
SD,241600.0,481680.0,-,70200.0,478560.0,0.0,4603368.0,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"CAR DIVERTED, HOURLY PASSENGERS",,,,,,,,,,,,
,SAC,SFO,SJ,FRESNO,LAX,SD,,,,,,
SAC,0.0,-,-,-,-,-,,,,,,
SFO,129.90867579908675,-,-,-,-,,,,,,,
SJ,-,-,-,-,-,-,,,,,,
FRESNO,25.34246575342466,47.37442922374429,-,0.0,-,-,,,,,,
LAX,73.40182648401826,154.337899543379,-,99.20091324200914,0.0,-,,,,,,
SD,27.397260273972602,66.43835616438356,-,11.073059360730594,296.5753424657534,0.0,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"CAR DIVERTED, HOURLY PASSENGER-KILOMETERS",,,,,,,,,,,,
,SAC,SFO,SJ,FRESNO,LAX,SD,,,,,,
SAC,0.0,-,-,-,-,-,,,,,,
SFO,18706.84931506849,-,-,-,-,,,,,,,
SJ,-,-,-,-,-,-,,,,,,
FRESNO,6082.191780821918,11369.86301369863,-,0.0,-,-,,,,,,
LAX,46977.16894977169,92602.7397260274,-,39680.365296803655,0.0,-,,,,,,
SD,21917.80821917808,47835.61643835616,-,5757.990867579909,47452.05479452055,0.0,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"CAR DIVERTED, HOURLY VEHICLE-KILOMETERS",,,,,,,,,,,,
,SAC,SFO,SJ,FRESNO,LAX,SD,,,,,,
SAC,0.0,-,-,-,-,-,,,,,,
SFO,12471.232876712327,-,-,-,-,,,,,,,
SJ,-,-,-,-,-,-,,,,,,
FRESNO,4054.794520547945,7579.908675799087,-,0.0,-,-,,,,,,
LAX,31318.112633181125,61735.1598173516,-,26453.57686453577,0.0,-,,,,,,
