Table 7.4 Air System Long Run Full Costs,,,,,,,
,,San Francisco,Fresno,Fresno,Bakersfield,Bakersfield,
,,Los Angeles,San Francisco,Los Angeles,San Francisco,Los Angeles,TOTAL
,,,,,,,
,HSR pkt/year ('000),5177696.0,94866.0,245110.0,55902.0,79765.0,5653339.0
,percent diverted from Air,0.5,0.14,0.28,0.28,0.14,0.47716574222773483
,Air Diverted pkt/year ('000),2588848.0,13281.240000000002,68630.8,15652.560000000001,11167.1,2697579.7
,Air Distance (km),626.0,251.0,418.0,420.0,200.0,
,,,,,,,
Cost Category,Average Cost,,,,,,
Infrastructure: Airways (ARTCC),0.003398430238038935,8543.1984,110.23429200000001,343.154,78.26280000000001,92.68693,9167.536422
Infrastructure: Airways (TRACON),0.001545840302698007,3883.272,50.468712000000004,157.85084,36.000888,42.43498,4170.027419999999
Infrastructure: Airways (ACTC),0.00092921663074496,2329.9632,31.874976,96.08312000000001,21.913584,26.801039999999997,2506.63592
Infrastructure: Airways (FSS),0.000823373304595968,2071.0784,26.562480000000004,82.35696,18.783072,22.334200000000003,2221.115112
,,,,,,,
Infrastructure: Airport Terminal,0.009367886696359703,23558.5168,302.81227200000006,940.2419600000001,214.44007200000001,254.60988,25270.620984
Infrastructure: Airport Airside,0.002159339567983848,5436.5808,69.062448,212.75548,48.522936,58.06892,5824.990583999999
,,,,,,,
Carrier: Capital Cost (Planes),0.0606,156884.1888,804.8431440000002,4159.02648,948.5451360000001,676.72626,163473.32982
Carrier: Operating Cost (airline operations),0.034,88020.83200000001,451.56216000000006,2333.4472,532.1870400000001,379.68140000000005,91717.70980000001
,,,,,,,
External: Accidents,0.00042,1087.31616,5.578120800000001,28.824936,6.574075200000001,4.690182,1132.9834740000001
External: Congestion,0.0017,4401.0416,22.578108,116.67236,26.609352,18.98407,4585.88549
External: Noise,0.0043,11132.0464,57.10933200000001,295.11244,67.306008,48.01853,11599.592709999999
External: Pollution,0.0009,2329.9632,11.953116000000001,61.767720000000004,14.087304000000001,10.05039,2427.82173
,,,,,,,
User: Time,0.0114,29512.8672,151.40613600000003,782.3911200000001,178.439184,127.30494,30752.408580000003
,,,,,,,
Total Cost by Air,0.13154408674042142,339190.86496,2096.0452968,9609.684616000002,2191.6714512,1762.391722,354850.65804600006
,,,,,,,
Cost per passenger kilometer traveled,,0.13102,0.15782,0.14002000000000003,0.14001999999999998,0.15782,0.13154408674042142
,,,,,,,
External Cost per Air Trip,,4.582319999999999,1.8373199999999998,3.0597600000000003,3.0744000000000002,1.4639999999999997,4.190258620808467
Internal Cost per Air Trip,,68.42179999999999,28.689300000000006,46.398,46.62000000000001,22.86,63.66758067694193
Full Cost per Air Trip,,82.01852,39.61282,58.52836000000001,58.80839999999999,31.563999999999997,80.86857168959595
,,,,,,,
note: see chapter 5 for details; full costs in thousands; pkt assumes % diverted from HSR - estimated by authors,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
WORKING TABLE: UNIT COSTS,,,,,,,
Table 7.4 Air System Long Run Full Costs,,,,,,,
,,San Francisco,Fresno,Fresno,Bakersfield,Bakersfield,
,,Los Angeles,San Francisco,Los Angeles,San Francisco,Los Angeles,
,,,,,,,
,HSR pkt/year ('000),5177696.0,94866.0,245110.0,55902.0,79765.0,
,percent diverted from Air,0.5,0.14,0.28,0.28,0.14,
,Air Diverted pkt/year ('000),2588848.0,13281.240000000002,68630.8,15652.560000000001,11167.1,
,Air Distance (km),626.0,251.0,418.0,420.0,200.0,
,,,,,,,
Cost Category,Average Cost,,,,,,
Infrastructure: Airways (ARTCC),0.003398430238038935,0.0033,0.0083,0.005,0.005,0.0083,
Infrastructure: Airways (TRACON),0.001545840302698007,0.0015,0.0038,0.0023,0.0023,0.0038,
Infrastructure: Airways (ACTC),0.00092921663074496,0.0009,0.0024,0.0014,0.0014,0.0024,
Infrastructure: Airways (FSS),0.000823373304595968,0.0008,0.002,0.0012,0.0012,0.002,
,,,,,,,
Infrastructure: Airport Terminal,0.009367886696359703,0.0091,0.0228,0.0137,0.0137,0.0228,
Infrastructure: Airport Airside,0.002159339567983848,0.0021,0.0052,0.0031,0.0031,0.0052,
,,,,,,,
Carrier: Capital Cost (Planes),0.0606,0.0606,0.0606,0.0606,0.0606,0.0606,
Carrier: Operating Cost (airline operations),0.034,0.034,0.034,0.034,0.034,0.034,
,,,,,,,
External: Accidents,0.00042,0.00042,0.00042,0.00042,0.00042,0.00042,
External: Congestion,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,
External: Noise,0.0043,0.0043,0.0043,0.0043,0.0043,0.0043,
External: Pollution,0.0009,0.0009,0.0009,0.0009,0.0009,0.0009,
,,,,,,,
User: Time,0.0114,0.0114,0.0114,0.0114,0.0114,0.0114,
,,,,,,,
Total Cost by Air,0.13154408674042142,0.13102,0.15782000000000002,0.14002,0.14002,0.15782000000000002,
