,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Exp,NS,Exp,NS,NS,Exp,NS,Exp,NS,NS,Exp,NS
Los Angeles,6.0,6.15,6.15,6.3,6.45,6.45,7.0,7.0,7.3,7.45,7.45,8.15
Bakersfield,6.56,|,7.11,|,|,7.41,|,7.56,|,|,8.41,|
Fresno,7.38,|,7.53,|,|,8.23,|,8.38,|,|,9.23,|
San Jose,8.34,|,8.49,|,|,9.19,|,9.34,|,|,10.19,|
San Francisco,9.19,9.04,9.34,9.19,9.34,10.04,9.49,10.19,10.19,10.34,11.04,11.04
,,,,,,,,,,,,
,,,,,,,,,,,,
,NS,Exp,Exp,NS,NS,NS,Exp,NS,Exp,NS,Exp,Exp
Los Angeles,8.3,8.3,8.45,9.0,9.15,9.3,9.3,10.0,10.15,10.45,11.0,11.15
Bakersfield,|,9.26,9.41,|,|,|,10.26,|,11.11,|,11.56,12.11
Fresno,|,10.08,10.23,|,|,|,11.08,|,11.53,|,12.38,12.53
San Jose,|,11.04,11.19,|,|,|,12.04,|,12.49,|,13.34,13.49
San Francisco,11.19,11.49,12.04,11.49,12.04,12.19,12.49,12.49,13.34,13.34,14.19,14.34
,,,,,,,,,,,,
,,,,,,,,,,,,
,NS,Exp,NS,Exp,NS,Exp,NS,Exp,NS,NS,Exp,Exp
Los Angeles,11.45,12.0,12.3,12.45,13.15,13.3,14.0,14.15,14.3,14.45,15.0,15.0
Bakersfield,|,12.56,|,13.41,|,14.26,|,15.11,|,|,15.56,15.56
Fresno,|,13.38,|,14.23,|,15.08,|,15.53,|,|,16.38,16.38
San Jose,|,14.34,|,15.19,|,16.04,|,16.49,|,|,17.34,17.34
San Francisco,14.34,15.19,15.19,16.04,16.04,16.49,16.49,17.34,17.19,17.34,18.19,18.19
,,,,,,,,,,,,
,,,,,,,,,,,,
,NS,NS,Exp,NS,NS,Exp,NS,Exp,NS,Exp,NS,Exp
Los Angeles,15.15,15.3,15.45,16.0,16.15,16.3,16.45,17.0,17.3,17.45,18.15,18.3
Bakersfield,|,|,16.41,|,|,17.26,|,17.56,|,18.41,|,19.26
Fresno,|,|,17.23,|,|,18.08,|,18.38,|,19.23,|,20.08
San Jose,|,|,18.19,|,|,19.04,|,19.34,|,20.19,|,21.04
San Francisco,18.04,18.19,19.04,18.49,19.04,19.49,19.34,20.19,20.19,21.04,21.04,21.49
,,,,,,,,,,,,
,,,,,,,,,,,,
,NS,Exp,NS,Exp,Exp,Exp,,,,,,
Los Angeles,19.0,19.15,19.45,20.0,20.45,21.15,,,,,,
